vente_id;date_mutation;nature_mutation;valeur_fonciere
455;2020-01-20 00:00:00;Vente;41500
456;2020-01-16 00:00:00;Vente;41080
457;2020-02-12 00:00:00;Vente;
458;2020-01-16 00:00:00;Vente;310000
459;2020-02-07 00:00:00;Vente;159550
460;2020-01-22 00:00:00;Vente;150000
461;2020-02-18 00:00:00;Vente;165500
462;2020-02-21 00:00:00;Vente;67200
463;2020-02-12 00:00:00;Vente;230000
464;2020-02-05 00:00:00;Vente;220000
465;2020-02-07 00:00:00;Vente;53320
466;2020-02-10 00:00:00;Vente;49000
467;2020-02-24 00:00:00;Vente;110000
468;2020-02-27 00:00:00;Vente;238000
469;2020-02-24 00:00:00;Vente;55000
470;2020-02-22 00:00:00;Vente;53260
471;2020-02-25 00:00:00;Vente;120250
472;2020-02-18 00:00:00;Vente;119390
473;2020-02-20 00:00:00;Vente;117110
474;2020-02-21 00:00:00;Vente;85000
475;2020-02-28 00:00:00;Vente;140150
476;2020-03-16 00:00:00;Vente;113000
477;2020-03-26 00:00:00;Vente;26630
478;2020-04-02 00:00:00;Vente;64000
479;2020-03-02 00:00:00;Vente;56900
480;2020-04-22 00:00:00;Vente;114275
481;2020-04-03 00:00:00;Vente;123000
482;2020-04-16 00:00:00;Vente;98000
483;2020-03-27 00:00:00;Vente;43000
484;2020-03-04 00:00:00;Vente;30250
485;2020-04-27 00:00:00;Vente;50740
486;2020-04-30 00:00:00;Vente;146192
487;2020-04-27 00:00:00;Vente;40000
488;2020-05-06 00:00:00;Vente;80000
489;2020-04-30 00:00:00;Vente;65000
490;2020-04-22 00:00:00;Vente;112000
491;2020-05-14 00:00:00;Vente;85000
492;2020-05-13 00:00:00;Vente;47000
493;2020-05-14 00:00:00;Vente;67340
494;2020-05-29 00:00:00;Vente;65500
495;2020-05-28 00:00:00;Vente;125000
496;2020-05-26 00:00:00;Vente;153240
497;2020-05-30 00:00:00;Vente;75000
498;2020-05-29 00:00:00;Vente;23000
499;2020-05-28 00:00:00;Vente;107871
500;2020-06-04 00:00:00;Vente;33000
501;2020-05-30 00:00:00;Vente;187000
502;2020-05-11 00:00:00;Vente;51300
503;2020-05-28 00:00:00;Vente;45500
504;2020-05-29 00:00:00;Vente;59800
505;2020-06-08 00:00:00;Vente;75000
506;2020-05-16 00:00:00;Vente;32000
507;2020-05-18 00:00:00;Vente;36100
508;2020-05-15 00:00:00;Vente;50000
