cadastre_id;code_type_voie;code_voie;code_id_commune;prefixe_section;section;numero_plan;nature_culture;nature_culture_speciale;surface_terrain
370;2;855;97;;BR;60;;;
371;19;520;81;;AK;973;;;
372;3;10;102;;AC;675;;;
373;8;B161;91;;C;997;;;
374;0;150;84;;AB;146;;;
375;18;A019;98;;AD;121;;;
376;0;30;103;;E;102;;;
377;15;730;97;;AP;156;;;
378;0;1000;81;;AK;335;;;
379;8;A003;97;;BH;60;;;
380;8;B078;85;;AC;222;;;
381;8;A003;97;;BH;60;;;
382;14;49;85;;AC;351;;;
383;1;1605;81;;AI;72;;;
384;18;A004;98;;AC;87;;;
385;1;2;104;;C;1455;;;
386;1;80;77;;AS;773;;;
387;5;35;81;;BL;31;;;
388;1;793;77;;AS;1062;;;
389;0;35;97;;BR;60;;;
390;5;685;80;;AH;300;;;
391;8;B019;87;;C;1344;;;
392;18;A028;83;;B;2103;;;
393;0;870;81;;AK;202;;;
394;18;A022;98;;AB;14;;;
395;1;1340;95;;G;993;;;
396;5;470;80;;AH;300;;;
397;0;255;105;;AI;904;;;
398;0;240;90;;AD;106;;;
399;0;682;95;;G;304;;;
400;0;317;106;;AD;65;;;
401;8;B081;91;;C;938;;;
402;11;1060;95;;G;608;;;
403;0;60;97;;BP;265;;;
404;18;A025;83;;AH;129;;;
405;1;700;95;;G;2163;;;
406;1;456;90;;AC;269;;;
407;8;B106;83;;AE;213;;;
408;12;745;81;;AK;51;;;
409;8;B094;87;;D;815;;;
410;5;423;90;;AK;433;;;
411;12;14;107;;F;309;;;
412;8;B058;108;;C;1398;;;
413;8;B078;109;;H;149;;;
414;15;175;97;;BR;117;;;
415;18;A044;98;;AD;116;;;
416;18;A010;79;;E;277;;;
417;18;A010;79;;E;277;;;
418;18;A010;79;;E;277;;;
419;8;B009;83;;B;2100;;;
420;0;530;90;;AD;99;;;
421;8;A030;97;;BS;180;;;
422;1;525;97;;BS;64;;;
423;8;B106;83;;AE;213;;;
424;0;140;84;;AB;290;;;
425;0;73;85;;C;704;;;
426;18;A039;98;;AB;19;;;
427;8;B116;91;;C;928;;;
428;18;A038;98;;AB;98;;;
429;8;B033;92;;Y;777;;;
430;4;1655;81;;AI;127;;;
431;15;710;81;;AE;290;;;
432;15;280;97;;BR;348;;;
433;8;B081;83;;AH;56;;;
434;5;550;90;;AH;55;;;
435;8;B009;83;;B;2100;;;
436;8;B049;104;;G;1400;S;;506
437;8;B168;91;;B;530;;;
438;5;250;91;;B;574;;;
439;5;418;101;;E;1537;;;
440;0;70;91;;G;1559;;;
441;8;B106;83;;AE;102;;;
442;1;984;97;;AZ;122;S;;865
443;0;24;87;;H;224;;;
444;14;1420;81;;AK;195;;;
445;8;B033;92;;Y;777;;;
446;0;870;81;;AK;207;;;
447;7;A014;103;;ZK;274;;;
448;8;B116;91;;C;971;;;
449;18;A032;98;;AB;22;;;
450;7;X023;97;;BI;99;;;
451;18;A032;98;;AB;22;;;
452;0;22;102;;AC;29;;;
453;1;790;77;;AV;47;;;
454;8;B069;110;;AI;8;;;
455;8;B050;111;;ZC;73;;;
456;8;B004;112;;A;1481;;;
457;21;32;113;;AA;176;;;
458;22;11;114;;AB;628;;;
459;8;B130;115;;C;2705;;;
460;2;92;113;;AB;111;;;
461;8;B268;116;;AK;338;;;
462;8;B202;117;;AC;141;;;
463;2;3;113;;AB;168;;;
464;10;64;118;175;C;1123;S;;285
465;1;27;119;;D;3302;;;
466;8;B069;110;;AI;8;;;
467;0;331;116;;AC;336;;;
468;1;550;116;;AL;23;;;
469;0;610;116;;AT;794;;;
470;0;1750;120;;CO;266;;;
471;8;B322;121;2;AA;91;;;
472;8;B019;122;;K;25;;;
473;0;610;116;;AR;63;;;
474;8;B001;123;;AC;94;;;
475;1;650;120;;AK;318;;;
476;18;A030;124;;AK;309;;;
477;1;114;125;;AN;511;;;
478;6;400;116;;AP;133;;;
479;0;240;126;;H;1031;;;
480;1;10;116;;AH;76;;;
481;8;B202;117;;AC;36;;;
482;8;B142;127;;E;2716;;;
483;0;480;128;;AA;149;;;
484;8;B023;129;;AA;62;;;
485;1;374;116;;AL;368;;;
486;8;B022;130;;B;349;;;
487;8;B022;131;;F;2361;;;
488;4;2280;120;;CP;98;;;
489;0;149;132;;D;1517;;;
490;12;23;114;;AB;736;;;
491;0;1200;120;;CO;72;;;
492;8;B235;133;;C;2141;;;
493;8;B134;124;;AB;413;;;
494;18;A100;121;;AA;20;;;
495;0;610;116;;AR;95;;;
496;3;1071;120;;BY;31;;;
497;8;B202;117;;AC;36;;;
498;8;B202;117;;B;3085;;;
499;8;B419;134;;AI;252;;;
500;8;B014;121;;AA;12;;;
501;0;882;135;;AC;242;;;
502;8;B230;121;;AA;44;;;
503;8;B202;117;;AC;175;;;
504;0;2240;120;;CL;151;;;
505;8;B280;121;2;AA;86;;;
506;0;80;125;;AO;214;;;
507;8;B021;128;;AA;205;;;
508;8;B230;121;;AA;44;;;
509;12;41;136;;AA;180;;;
510;8;B202;117;;AC;68;;;
511;8;B114;131;;F;2362;;;
512;8;B030;130;;C;94;;;
513;8;B322;121;2;AA;319;;;
514;8;B112;127;;AB;22;;;
515;8;B014;121;;AA;12;;;
516;0;1393;120;;CD;356;;;
517;0;18;130;;AD;359;;;
518;10;127;132;;D;1814;;;
519;8;B072;118;;F;1262;;;
520;8;B101;137;;AC;57;;;
521;8;B028;138;;AB;1138;;;
522;7;A037;137;;AD;472;;;
523;8;B014;121;;AA;12;;;
524;8;B322;121;2;AA;202;;;
525;8;B056;113;;AB;89;;;
526;8;B041;139;;ZE;114;;;
527;8;B014;121;;AA;12;;;
528;2;18;116;;AT;876;;;
529;8;B120;131;;D;725;;;
530;8;B029;131;;C;1150;;;
531;8;B022;140;;ZB;92;;;
532;0;140;114;;AB;265;;;
533;8;B113;127;;AA;75;;;
534;8;B107;127;;AB;56;;;
535;0;610;116;;AT;794;;;
536;8;B023;129;;AA;281;;;
537;8;B095;129;;AA;290;;;
