adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
271;PL;DE L HOTEL DE VILLE;2400;CHATEAU THIERRY;2
272;GR;GRANDE RUE;2400;CHATEAU THIERRY;2
273;RES;RENOIR;2400;CHATEAU THIERRY;2
274;RUE;PAUL CLAUDEL;2130;FERE EN TARDENOIS;2
275;RUE;DE LA FRATERNITE;3000;MOULINS;3
276;RUE;DENAIN;3000;MOULINS;3
277;RUE;DE LA FRATERNITE;3000;MOULINS;3
278;RUE;DE LA FRATERNITE;3000;MOULINS;3
279;RUE;CHARLES PEGUY;3000;MOULINS;3
280;RES;PARC MONTFAULT;3400;YZEURE;3
281;RUE;DU VERT GALANT;3000;MOULINS;3
282;IMP;DU PRE DE MOLLES;3400;YZEURE;3
283;RTE;DE LYON;3400;YZEURE;3
284;RUE;JACQUES VINCENT;3400;YZEURE;3
285;RUE;GASPARD ROUX;3000;MOULINS;3
286;AV;DU DRAPEAU;3300;CUSSET;3
287;RUE;JEAN JAURES;3200;VICHY;3
288;RUE;MONTIGNAC;3200;VICHY;3
289;RUE;DU 11 NOVEMBRE;3200;VICHY;3
290;RUE;DUCHON;3200;VICHY;3
291;RUE;HUBERT COLOMBIER;3200;VICHY;3
292;PL;DE L HORLOGE;4200;SISTERON;4
293;PL;DE L ENGIEN;4500;RIEZ;4
294;RES;LES MELEZES;4400;ENCHASTRAYES;4
295;TRA;DU CAMPING;4160;CHATEAU-ARNOUX-SAINT-AUBAN;4
296;RUE;DES MONGES;4000;DIGNE-LES-BAINS;4
297;;STATION DE SAINT JEAN;4140;MONTCLAR;4
298;PL;DU DOCTEUR ROBERT;4200;SISTERON;4
299;;LA CHAPELLE;4260;ALLOS;4
300;PL;DES AIRES;4120;CASTELLANE;4
301;RTE;DE MAZAGRAND;4850;JAUSIERS;4
302;;LE VILLAGE;4340;LE LAUZET UBAYE;4
303;RUE;GRANDE;4140;SEYNE;4
304;;ADRECH DE CHAUVET;4260;ALLOS;4
305;AV;FRANCOIS CUZIN;4000;DIGNE-LES-BAINS;4
306;RUE;DU VALLON DE FARINE;4000;DIGNE-LES-BAINS;4
307;;STATION DE SAINT JEAN;4140;MONTCLAR;4
308;;LE VILLAGE;4500;SAINTE CROIX DU VERDON;4
309;;PONT DE LABRAU OUEST;4260;ALLOS;4
310;LOT;LOTISSEMENT DU BERARD;4400;FAUCON-DE-BARCELONNETTE;4
311;RES;LES CHENEVRIERS;4400;ENCHASTRAYES;4
312;CHE;DES ALPAGES;4400;BARCELONNETTE;4
313;RUE;PRINCIPALE;4850;JAUSIERS;4
314;CHE;DES BEAUMES;4800;GREOUX-LES-BAINS;4
315;BD;VICTOR HUGO;4000;DIGNE-LES-BAINS;4
316;RES;LE VALLON DES SOURCES;4000;DIGNE-LES-BAINS;4
317;BD;VICTOR HUGO;4000;DIGNE-LES-BAINS;4
318;;LE SUPERSAUZE;4400;ENCHASTRAYES;4
319;;LE PONT;4800;SAINT-MARTIN-DE-BROMES;4
320;;PONT DE LABRAU;4260;ALLOS;4
321;IMP;DE CARUPE;4200;PEIPIN;4
322;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
323;RES;LES MARGUERITES;4400;ENCHASTRAYES;4
324;PL;DE LA MAIRIE;4000;DIGNE-LES-BAINS;4
325;;LE SUPERSAUZE;4400;ENCHASTRAYES;4
326;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
327;;ANCIENNE RTE D FORCALQUIER;4130;VOLX;4
328;;BEAUDINE;4300;FORCALQUIER;4
329;PL;DE LA REPUBLIQUE;4200;SISTERON;4
330;RUE;DELEUZE;4200;SISTERON;4
331;;GRANDE MONTAGNE;4140;SELONNET;4
332;;LES AUCHES;4260;ALLOS;4
333;ALL;DES AVETTES;4100;MANOSQUE;4
334;AV;MARCEL ANDRE;4300;FORCALQUIER;4
335;;LACHAUD ET CHAUVET;4260;ALLOS;4
336;AV;DU DCT BERNARD FOUSSIER;4100;MANOSQUE;4
337;RUE;ANDRE HONNORAT;4400;BARCELONNETTE;4
338;RUE;DOC CASIMIR CAIRE;4300;FORCALQUIER;4
339;AV;DES THERMES;4800;GREOUX-LES-BAINS;4
340;;LA CHAPELLE;4260;ALLOS;4
341;RUE;TANNERIE;4500;RIEZ;4
342;RUE;POTERIE;4200;SISTERON;4
343;REM;DES CORDELIERS;4300;FORCALQUIER;4
344;;LES LAVANDES;4100;MANOSQUE;4
345;RES;LES MARMOTTES BLEUES;4400;UVERNET-FOURS;4
346;;LE VILLAGE;4200;NOYERS-SUR-JABRON;4
347;RUE;FONT CHAUDE;4200;SISTERON;4
348;;SAINT PIERRE;4140;SEYNE;4
349;RUE;DE LA FERRAILLE;4300;PIERRERUE;4
350;;LA SESTRIERE;4260;ALLOS;4
351;TRA;DES EAUX CHAUDES;4000;DIGNE-LES-BAINS;4
352;RUE;JULES BOURDIN;4700;ORAISON;4
353;AV;DES THERMES;4800;GREOUX-LES-BAINS;4
354;ALL;DE PROVENCE;4100;MANOSQUE;4
355;CHE;DE STE ANNETTE;4800;GREOUX-LES-BAINS;4
356;AV;HENRI JAUBERT;4000;DIGNE-LES-BAINS;4
357;AV;DES THERMES;4800;GREOUX-LES-BAINS;4
358;RES;JEANNE D ARC;4100;MANOSQUE;4
359;RUE;MARIUS DEBOUT;4300;FORCALQUIER;4
360;;LES HAUTES PLAINES;4800;GREOUX-LES-BAINS;4
361;RES;PRA CHAUVET;4400;UVERNET-FOURS;4
362;;ADRECH DE CHAUVET;4260;ALLOS;4
363;RES;LES MELEZES;4400;UVERNET-FOURS;4
